lng,lat,parcel_id
-72.71356,41.77332,109298028
-72.71364,41.77311,109298029
-72.71371,41.77294,109298030
-72.71379,41.77274,109298031
-72.71385,41.77257,109298032
-72.71394,41.77233,109298033
-72.71406,41.77202,109298034
-72.71416,41.77178,109298035
-72.71427,41.77149,109298036
-72.71438,41.77122,109298037
-72.71443,41.77108,109298038
-72.71448,41.77093,109298039
-72.71453,41.77078,109298040
-72.71457,41.77063,109298041
-72.71398,41.77071,109298042
-72.71393,41.77086,109298043
-72.71388,41.77100,109298044
-72.71383,41.77115,109298045
-72.71377,41.77130,109298046
-72.71372,41.77145,109298047
-72.71367,41.77158,109298048
-72.71361,41.77172,109298049
-72.71356,41.77186,109298050
-72.71351,41.77199,109298051
-72.71346,41.77212,109298052
-72.71340,41.77228,109298053
-72.71334,41.77246,109298054
-72.71327,41.77265,109298055
-72.71322,41.77278,109298056
-72.71317,41.77292,109298057
-72.71312,41.77305,109298058
-72.71307,41.77319,109298059
-72.71302,41.77332,109298060
-72.71296,41.77347,109298061
-72.71290,41.77363,109298062
-72.71284,41.77400,109298063
-72.71332,41.77412,109298064
-72.71249,41.77291,109301065
-72.71247,41.77278,109301066
-72.71257,41.77265,109301067
-72.71260,41.77252,109301068
-72.71264,41.77237,109301069
-72.71268,41.77225,109301070
-72.71271,41.77211,109301071
-72.71275,41.77198,109301072
-72.71279,41.77184,109301073
-72.71283,41.77171,109301074
-72.71287,41.77157,109301075
-72.71291,41.77142,109301076
-72.71296,41.77129,109301077
-72.71298,41.77117,109301078
-72.71301,41.77105,109301079
-72.71312,41.77091,109301080
-72.71324,41.77079,109301081
-72.71329,41.77066,109301082
-72.71296,41.77065,109301083
-72.71275,41.77067,109301084
-72.71256,41.77073,109301085
-72.71246,41.77096,109301086
-72.71606,41.77049,110296001
-72.71605,41.77020,110296002
-72.71604,41.76999,110296003
-72.71602,41.76979,110296004
-72.71601,41.76962,110296005
-72.71598,41.76943,110296006
-72.71596,41.76920,110296007
-72.71597,41.76893,110296008
-72.71588,41.76867,110296009
-72.71541,41.76879,110296028
-72.71549,41.76902,110296029
-72.71547,41.76922,110296030
-72.71548,41.76943,110296031
-72.71548,41.76953,110296032
-72.71549,41.76969,110296033
-72.71548,41.76985,110296034
-72.71547,41.77001,110296035
-72.71524,41.77032,110296036
-72.71545,41.77030,110296037
-72.71564,41.77039,110296038
-72.71591,41.76829,110297010
